过分的神圣，往往比恶魔更加恶质。 ——塞巴斯蒂安·米卡艾利斯,黑执事
一枝枯萎的鲜花，不会再盛开。人、鸟、虫……光辉的星星都只有一次生命…… ——奥路菲,圣斗士星矢
女人的武器不是眼泪，而是微笑。——鹤屋,凉宫春日的忧郁
我从轮回的尽头回来了。——六道骸,家庭教师
轻快的飞！飞向梦，飞向未来，还有飞向你！,草莓100%
稍等一下，再来一遍,中二病也要谈恋爱
被黑炎重重包围着消失吧！！！！,中二病也要谈恋爱
我们奋力向前划，逆流而上的小舟不停地倒退，进入过去...,了不起的盖茨比
每天笑一笑对一个皇帝来说很重要，因为这有助于消化。,《异人傲世录》科恩凯达
绝望了！我对这个连自杀都不让的社会绝望了！,再见！绝望先生
只送大脑！,《三体III》
"可以让莫妮尔去,我母亲的猫,不过它也得减肥一半才行",《三体III》
前进！不择手段地前进！,《三体III》
"粮食?这不都是粮食?每个人看看你们的周围,都是粮食,活生生的粮食。",《三体III》
一切的一切都导向这样一个结果：物理学从来就没有存在过，将来也不会存在。,《三体I》
已阅。狗屁不通！大字报在地上贴就行了，不要发到天上去！,《三体I》
不要回答！不要回答！不要回答！！！,《三体I》
你们是虫子！,《三体I》
“太阳快落下去了，你们的孩子居然不害怕？”“当然不害怕，她知道明天太阳还会升起来的。”,《三体II》
第一，生存是文明的第一需要；第二，文明不断增长和扩张，但宇宙中的物质总量保持不变,《三体II》
"我需要一块二向箔,清理用。",《三体III》
整个物理学就像是一个大谜，走到它的尽头，连整个世界是否存在都成了问题。,《球状闪电》
有时你飞到了头，却发现还不如中间掉下来,《球状闪电》
在中国，任何超脱飞扬的思想都会砰然坠地——现实的引力实在是太沉重了,《三体I》
"我们都是阴沟里的虫子,但总还是得有人仰望星空",《三体I》
"没人来这里参观,这里不是让人参观的。这一切,只是一块墓碑,人类的墓碑。",《三体III》
"基于现代科学在各个学科最先进的理论和技术,根据大量的理论研究和实验的结果,通过对大量方案的综合分析和比较,得出了把信息保存一亿年左右的方法,这是目前已知的唯一可行的方法,它就是——把字刻在石头上!",《三体III》
"最后发现,真正的力量在时间手里,留下脚印比创造世界更难,在这文明的尽头,人类也只能做远古的婴儿时代做过的事。",《三体III》
这是计划的一部分。,《三体II》
请你们帮助我们消灭人类，最后我们再消灭你们。,《三体II》
破壁人： 主不在乎。,《三体II》
给岁月以文明，而不是给文明以岁月。,《三体II》
斩尽杀绝，这是对一个文明最高的重视。,《三体II》
面壁者，我是你的破壁人,《三体II》
他们不知道我们是怎样想他们怎样想我们怎样想他们怎样想我们怎样...,《三体II》
没有永恒的敌人或同志，只有永恒的责任。,《三体II》
黑暗森林中有一个叫人类的傻孩子，生了一堆火并在旁边高喊：我在这儿！我在这儿！,《三体II》
不要返航！这里不是家！,《三体III》
"如果千秋功罪真有人评说,现在己经可以派一个人去解释岁月造成的误会",《三体III》
"失去人性,失去很多;失去兽性,失去一切。",《三体III》
"藏好自己,做好清理。",《三体III》
"要记住伟大的探知可逆定律:如果你能看到一个低墒世界,那个低嫡世界迟早也能看到你,只是时间问题。所以,什么事情都等别人做是危险的。",《三体III》
"你再快都有比你快的,你再慢也有比你慢的。",《三体III》
"弱小和无知不是生存的障碍,傲慢才是。",《三体III》
"你认为是自己的错误毁灭了太阳系那是很可笑的,这样想实在是太自命不凡了,就像你在地面上做一个倒立,就认为自己举起了地球一样。",《三体III》
生存在宇宙中，本身就是一件很幸运的事情，但是不知道什么时候起，你们有了这样一种幻想，认为生存是唾手可得的，这就是你们失败的根本原因,《三体III》
把海弄干的鱼在海干前上了陆地，从一片黑暗森林奔向另一片黑暗森林。,《三体III》
上岸的鱼不再是鱼，真正进入太空的人也不再是人。,《三体III》
"放心,我在,你们就在。",《三体III》
或许是不知梦的缘故，流离之人追逐幻影,龙族
因为不爱，所以都错。,龙族
再努力一次吧，不要躲在这里，真诚地面对自己再试一次,某科学的超电磁炮
如果存在有皆大欢喜，人人期待的幸福世界的话，那里就没有我的容身之所,某科学的超电磁炮
既然你诚心诚意地发问了 那我就大发慈悲地告诉你 为了防止世界被破坏， 为了守护世界的和平， 贯彻爱与真实的邪恶， 可爱又迷人的反派角色， 武藏，小次郎， 我们是穿梭在银河之间的火箭队， 白洞，白色的明,数码宝内
如果我是那雨滴的话，那么，我能够像把不曾交汇的天空与大地连接起来那样，把某人的心串联起来吗？,死神
一定没有问题的！,魔卡少女樱
有被杀的觉悟，才有资格开枪。,反叛的鲁路修
真讨厌，不快点碾碎的话。,回转企鹅罐
应该可以了吧，我已经很努力了，应该可以抵达终点了⋯⋯,AIR
煩い！煩い！煩い！,灼眼的夏娜
用番茄Lu过。。。比香蕉好 ←那是你没领悟到香蕉的正确用法,樱花庒的宠物女孩 10 B站弹幕
我想应该静下来想一些话。我想应该静下来走一段路。我想应该静下来看一本书。我只想静下来反省自己。,大乔小乔
"这个世界上没有偶然, 有的只是必然",壹原侑子
版权没有，随意盗版,www.bcdedit.com
生活不可能像你想象得那么好，但也不会像你想象得那么糟。,莫泊桑
生命真是充满讽刺。它用悲伤让你了解什么叫幸福，用噪音教会你欣赏寂静，用缺失来评价存在。,网络
真正的爱不是尽力，是尽心。,网络
风雨一生兼程，灵魂轻盈随行。,网络
等与不等，我都等了。在与不在乎，我都已在乎了。,网络
既然认准这条路，何必去打听要走多久。,网络
要么承担，要么突破，剩余的时间就是对你的所经历的一切保持沉默。终有一天，这沉默里会获得道路和答案。,安妮宝贝
最好的感觉，是有人懂你的欲言又止。,网络
有些人，一旦遇见，便一眼万年；有些心动，一旦开始，便覆水难收。,网络
没有什么过不去，只是再也回不去。,网络
在你最冷的时候，有人不顾自己寒冷抱着你，这就是幸福。,网络
哭着活着，还不如笑着死去,自己
梦想是什么，梦想是现实的延续；现实是什么，现实是梦想的终结。,AB
越是困难，越要抬起头，地上可找不到任何希望！,Zetman
救救我啊奥特曼，哪怕你只能撑三分钟⋯⋯,肯普法
不要祈求生活公平，只需要适应它。,网络
所谓的人类，可是连短短的十分钟也等不起的。,AB
如果聚集负的感情，世界就会陷入负的洪流；反之聚集正的感情，世界就会循着正道而行。,钢炼
这是眼泪吗？原来眼泪是这么的温暖，我一直以为，哀伤的东西都是冰冷的。,风色幻想
人与人在偶然之中创造相遇与别离。,银河和声
我觉得你很幸福，因为你可以选择爱我或不爱我，而我只能选择爱你或更爱你。,School Days
如果你死了，那什么也改变不了，可如果你还活着，那就能改变一些事情。,最游记
没有谁能够永远坚强下去的，每个人都会有疲累的无法站起的时候。世间的故事，就是为了这一刻而存在的哦。,文学少女
懂得认输是非常重要的，不尝到失败的不甘，也就不会明白跌倒后怎么爬起来，更不可能再向前迈进。,笨蛋测验召唤兽
一直保持微笑是有诀窍的，那就是，在想哭的时候放声大哭。,一直保持微笑是有诀窍的，那就是，在想哭的时候放声大哭。
你还欠我一句对不起，可我不会再说没关系了。,网路
花开花落，再灿烂的星光也会消失。,圣斗士
我的终点，与幸福同在。,AIR
用你的笑容去改变这个世界，别让这个世界改变了你的笑容。,网络
无论是丢下还是被丢下，都是一样痛苦的。,网络
自身不先改变的话，一切都不会改变。,银魂
因为无法再见面，所以要笑着说再见。,air
想要成为无论多么悲伤的时候，也能够漂亮微笑的人吧,文学少女
在走廊上跌倒会流鼻血，在人生中跌倒会流眼泪。,龙与虎
以盐水作配菜，糖水做主食，就有种奢侈的感觉呢。,笨蛋测验召唤兽
风筝的线你随时可以放开，只是别盼望我会回来,网路
我们开始一起攀登，这长长的，长长的坡道。,CLANNAD
女人的武器不是眼泪，而是微笑。,凉宫春日的忧郁
想要试着去相互接近，但最后还是无法敞开心扉，结果就是擦肩而过⋯⋯,文学少女
我们虽然距离很远很远，非常非常的远，但是思念或许真的可以穿越时间和距离。,星之声
梦想是否无聊并不是别人来决定的，不管是什么样的梦想，自己拼命努力去追寻才是最重要的。,守护甜心
不习惯的事越来越多，但我仍在前进⋯⋯就算步伐很小，我也在一步一步的前进。,夏目友人帐
要改变别人的心真是件很难办的事，不过改变自己要容易一点。,XXXHolic
只要你还记得我，我就会一直在你的身边。,符文工坊
无论在哪里遇到你，我都会喜欢上你。,AngleBeats!
你有学校也有朋友，但对我来说，我的生活中就只有你。,我与狗狗的十个约定
什么都无所谓只想在你身边，什么都无所谓只想和你说话，什么都无所谓所以请你不要逃避。,只想告诉你
如果没什么好事发生的话，就把没有发生坏事的每一天当作好事吧。,网络
或许只需一滴露水，便能守护这绽放的花朵。,反骨仔
既然如此，就再努力一次吧。别在这里愁眉不展，也不要再自欺欺人，重新来过！,某科学超电磁炮
我想让自己强大起来，因为至少我已经有幸和想要保护的人相遇了。,夏目友人帐
当朋友是不需要什么资格的。,全职猎人
真可悲，你什么都不知道，在这个世界上没有什么是不重要的！,最终幻想
我不会接受我不要的未来，哪怕是命中注定。,网络
